year,gdp_pc,edu_exp,water_acc,urban_pop,health_exp,life_exp,iso3,sfa_score,urban_water_idx,health_exp_growth,gdp_pc_lag1,health_exp_lag1,dea_score_lag1,sfa_score_lag1,dea_score
2011,-1.2724328517052557,-0.7569897999130084,-1.4409817769755484,-0.8479788683535183,-1.2976533359680447,-1.351098734491753,WB_LI,-0.7880089783768706,-1.1253488010760822,0.6016328963404197,-1.2139758865159491,-1.3570937503182277,-0.15641548100005917,-0.7282498192743009,0.5789947570033316
2012,-1.1976409586041086,-0.14550007551549882,-1.236483860732641,-0.8123614021925495,-1.1042894408022508,-1.310747490874005,WB_LI,-0.7962592837253202,-1.0539276551924852,1.0797579923499043,-1.2301035363668973,-1.2448927855972594,-0.04250268756346088,-0.7270169202131198,0.4925148714000486
2013,-1.1703761540672049,-0.30663677859233257,-1.0895265568663148,-0.6701287430657478,-1.0651945013192192,-1.2658910395878857,WB_LI,-0.6915831149464182,-0.9322039507688656,0.11446084012524996,-1.1530869198314642,-1.047719382305895,-0.4808995500319275,-0.7349577545543952,0.460181146122108
2014,-1.183302103022312,-0.485569464546418,-1.068040655917392,-0.7199964848880253,-1.0652071584003233,-1.2459290618897276,WB_LI,-0.606934833789232,-0.9559114269078508,-0.15528735539625768,-1.125073603127567,-1.0080224102093622,-0.6537975345258816,-0.6342080149209595,0.5745172238524996
2015,-1.18319481565996,-0.5003045522597516,-1.052100654001632,-0.7168757162052237,-1.0597924191970625,-1.2098268705411686,WB_LI,-0.4584718195743605,-0.9497370339421978,-0.117195870406135,-1.1383502831907972,-1.0080352531927619,-0.06439138335060327,-0.5527349118594791,0.5763683712561954
2016,-1.1960883005427634,-0.6582197692259009,-1.0775771607612181,-0.7501780635822183,-1.1496417232491059,-1.1763345653340336,WB_LI,-0.24434599591339073,-0.9763872873371421,-0.8231779137031406,-1.1382400540962776,-1.0025415153891586,-0.055331667045957385,-0.4098407822612036,0.6161580499578966
2017,-1.1742484179594797,-0.35218540998945963,-1.038331886291245,-0.7269909288750032,-1.078728286706032,-1.1454306030948176,WB_LI,-0.26951394948147683,-0.9520668823562473,0.3266891762118174,-1.1514907453337464,-1.093840200973857,0.13596750712087605,-0.20374687154304716,0.5319369070620369
2018,-1.1726120805602518,-0.2929735633777859,-1.012680561261408,-0.7572650040308502,-1.096899095110168,-1.108191557440843,WB_LI,-0.17263485346168386,-0.9633991520955093,-0.28518966056324724,-1.1290501568516786,-1.021758300748587,-0.2768761223673664,-0.22797076890832937,0.5539301764516076
2019,-0.12917361900264882,0.579239101790072,0.20032862699362564,-0.016732360759667064,0.1264607897196466,-1.0610475777062172,WB_LI,-1.499250376896008,-0.0491954923555037,4.042180437691776,-1.127369667464255,-1.0402109550996825,-0.1661346334286321,-0.13472563189406694,0.21916923328773744
2020,-0.1435169745212014,0.512833577983723,0.17903269727048368,-0.026171504586296357,0.100591744152153,-1.061845788168626,WB_LI,-1.457570214827348,-0.06497878440891577,-0.30816395848828926,-0.07806403715694153,0.1772505004416466,-2.131225294260007,-1.4115794768412602,0.22301082965758032
2021,-0.95956338706336,0.401361473222247,-0.48268889965939793,-0.3316925755799434,-0.9342569661012707,-1.1122289966525631,WB_LI,-0.5046552553467183,-0.5299669972243328,-6.411760902754439,-0.09220966039880235,0.15199151465771582,-2.104622999548383,-1.3714627480262553,0.460098386928631
2001,-1.2007381443687972,-0.5973320276130392,-0.991246783649681,-0.6766765251794995,-1.0749467571166127,-1.172178056895308,WB_LMI,-0.6361523194920882,-0.9088528238419327,0.7308092245784146,-1.1335207279995771,-1.1553715285305917,-0.0681208361793024,-0.48826406216551754,0.5755548629276674
2002,-1.1950926518053389,-0.4916230776787996,-0.9900956119198705,-0.678971438080017,-1.075403545857364,-1.1389509124539507,WB_LMI,-0.5394652004684353,-0.9099273854166807,-0.15842340267801497,-1.1562712327403222,-1.0179196293705395,-0.05931127917327358,-0.5808564424012017,0.5894979935364206
2003,-1.1604243233704308,-0.2305600955470745,-1.011744882906463,-0.7108117940583645,-1.053336791144928,-1.1070148315085409,WB_LMI,-0.5331390404008135,-0.9351421930181201,-0.0018998776163919012,-1.150467248218647,-1.0183832928938992,0.008512866014217708,-0.48779608127816976,0.5205397895327314
2004,-0.18842760087912613,0.24211543280076717,0.12267229626095055,-0.059682271646186016,-0.09322058966235756,-1.0669709024980363,WB_LMI,-1.7327118304738123,-0.11319216499025525,3.5886991895723743,-1.1148567981801822,-0.9959930925740554,-0.3351190465733532,-0.4817072170493063,0.25769616283451785
2005,-0.10699167925377522,0.7668897717100879,0.22975103996600466,0.02312264462476656,0.2244364627856638,-1.0292826112632936,WB_LMI,-1.8636271277240941,-0.005476318545377036,1.4302484175840793,-0.13654774350622106,-0.03787720654669762,-1.8694766146357726,-1.6362837331853086,0.23494908070613968
2006,-0.08856970353897188,0.41173264128845743,0.2560786872197846,-0.010834314695372934,0.15976760733958445,-0.9841887336212995,WB_LMI,-1.7070492018922212,-0.02291892448700419,-0.539737639965624,-0.056201989263221626,0.2727402043375162,-2.0226741637555903,-1.7622883650500754,0.26445968219136273
2007,-0.044206408188344724,0.43115065605390385,0.30147357660388696,0.03886489437164559,0.09430287447373632,-0.9495140493918609,WB_LMI,-1.5728981625833889,0.0355929847679534,-0.5483164638972885,-0.03805864901569637,0.2097432524676278,-1.824651813796016,-1.6115837161894055,0.26525403703433437
2008,0.049761149674220906,-0.18416155225441028,0.3201319967623054,-0.2114514555531523,-0.10277618511691695,-0.9244746435774179,WB_LMI,-1.362618155069343,-0.16355524969860522,-1.4112272750759436,0.005585644610947359,0.14584800699901562,-1.8194087104716714,-1.4824647157561015,0.35323530922469126
2009,-0.09348612615797973,-0.14505479419455822,0.3070548511349376,-0.10118455921555766,0.00570220940908733,-0.8557338459776251,WB_LMI,-1.1879472283974106,-0.07765592638131086,0.4566283801720209,0.09780868001831673,-0.04726736961390692,-1.2650098843885422,-1.2800723636639495,0.35197162219579864
2010,0.05829267659082205,-0.13750493030274477,0.36928206548139886,-0.16404817720562964,-0.07358037566471073,-0.8271393208127785,WB_LMI,-1.245801698515962,-0.10679055398481248,-0.6455337980542422,-0.04289956173540056,0.059171950068822095,-1.2726225013864998,-1.111953386928195,0.21296202588876303
2011,0.0705256636965947,-0.026473559769982044,0.34923829240690873,-0.07198764705990561,7.761621126545835e-4,-0.7689072240297965,WB_LMI,-1.1362531706154664,-0.037746391148320874,0.271095217941779,0.10616706167234298,-0.0185856608410447,-2.1744511703442893,-1.1676377214722506,0.26189083176074696
2012,0.05941476771652413,-0.14864139494919676,0.40099612266632406,-0.1630660590164935,-0.1298765281869816,-0.7293357651314026,WB_LMI,-0.8235035903358474,-0.09448716057844736,-0.9815084910597558,0.11814753062562178,0.05434611058078544,-1.8416381587330217,-1.0621983861206337,0.28791039495657206
2013,-0.005137296794136354,-0.04895469241563452,0.4348323617236707,-0.2805864594862364,-0.11259263190861504,-0.6920225948336469,WB_LMI,-0.7316493931150271,-0.18089654540427832,-0.051767736932983595,0.10726619874145198,-0.0739135609191373,-1.6717281190189368,-0.761180120442679,0.327349007336886
